classId,difficulty,elapsedLength,eventName,from,length,name,to,topAverage,topAverageLapElapsed
0,95.5,9.1,第28回全日本リレーオリエンテーリング大会,0,9.1,△→1,1,3:41,3:41
0,30.6,11.4,第28回全日本リレーオリエンテーリング大会,1,2.3,1→2,2,0:57,4:38
0,153.3,25.2,第28回全日本リレーオリエンテーリング大会,2,13.8,2→3,3,5:35,10:13
0,58.7,32.3,第28回全日本リレーオリエンテーリング大会,3,7.1,3→4,4,2:52,13:05
0,117.1,37.8,第28回全日本リレーオリエンテーリング大会,4,5.4,4→5,5,2:11,15:17
0,162.3,42.0,第28回全日本リレーオリエンテーリング大会,5,4.2,5→6,6,1:43,17:00
0,317.2,53.0,第28回全日本リレーオリエンテーリング大会,6,11.0,6→7,7,4:27,21:27
0,84.3,58.6,第28回全日本リレーオリエンテーリング大会,7,5.6,7→8,8,2:15,23:42
0,142.2,64.6,第28回全日本リレーオリエンテーリング大会,8,6.0,8→9,9,2:26,26:08
0,119.9,72.4,第28回全日本リレーオリエンテーリング大会,9,7.8,9→10,10,3:10,29:18
0,46.8,74.6,第28回全日本リレーオリエンテーリング大会,10,2.2,10→11,11,0:53,30:12
0,64.8,77.5,第28回全日本リレーオリエンテーリング大会,11,2.9,11→12,12,1:09,31:22
0,104.9,84.9,第28回全日本リレーオリエンテーリング大会,12,7.4,12→13,13,3:00,34:22
0,46.4,86.9,第28回全日本リレーオリエンテーリング大会,13,2.0,13→14,14,0:49,35:11
0,19.2,88.4,第28回全日本リレーオリエンテーリング大会,14,1.5,14→15,15,0:36,35:48
0,148.3,92.9,第28回全日本リレーオリエンテーリング大会,15,4.5,15→16,16,1:50,37:38
0,105.3,95.1,第28回全日本リレーオリエンテーリング大会,16,2.1,16→17,17,0:51,38:29
0,49.9,99.0,第28回全日本リレーオリエンテーリング大会,17,3.9,17→18,18,1:35,40:05
1,124.4,9.8,第28回全日本リレーオリエンテーリング大会,0,9.8,△→1,1,3:48,3:48
1,39.0,12.1,第28回全日本リレーオリエンテーリング大会,1,2.3,1→2,2,0:54,4:42
