,runnerName,eventName,rank
53,河村優花,名椙技術科レース2019,46.0
1277,和波明日香,名椙技術科レース2019,2.0
1278,五十嵐羽奏,名椙技術科レース2019,3.0
1280,須本みずほ,名椙技術科レース2019,5.0
3062,増澤すず,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,1.0
3068,小林祐子,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,8.0
3069,永山尚佳,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,9.0
3070,香取瑞穂,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,10.0
3071,河村優花,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,12.0
3072,高橋利奈,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,13.0
3073,青代香菜子,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,14.0
3076,小林美咲,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,18.0
3077,伊部琴美,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,20.0
3078,清野幸,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,21.0
3079,山根萌加,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,23.0
3080,宮本和奏,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,24.0
3081,世良史佳,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,25.0
3083,進藤緑里,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,27.0
3084,出田涼子,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,28.0
3088,松田千果,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,33.0
8742,小竹佳穂,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,1.0
8747,篠塚みずき,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,9.0
8748,古谷直央,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,10.0
8752,和波明日香,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,14.0
8754,鈴木咲希,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,16.0
8764,河野珠里亜,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,32.0
8768,諏訪夏海,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,6.0
9075,秋山美怜,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,1.0
9078,八木橋まい,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,4.0
9079,冨永万由,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,5.0
9448,佐藤汐子,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,5.0
9797,五十嵐羽奏,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,5.0
9801,須本みずほ,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,9.0
9853,阿部悠,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,2.0
13547,増澤すず,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,74.0
21898,出田涼子,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,2.0
21900,河野珠里亜,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,4.0
21904,清野幸,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,5.0
22220,香取瑞穂,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,1.0
22221,松田千果,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,2.0
22222,冨永万由,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,3.0
22228,佐藤汐子,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,6.0
22373,増澤すず,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,1.0
22379,和波明日香,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,9.0
22380,高橋利奈,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,3.0
22381,五十嵐羽奏,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,4.0
22533,篠塚みずき,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,6.0
22849,世良史佳,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,1.0
22852,秋山美怜,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,4.0
23003,進藤緑里,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,2.0
23004,河村優花,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,3.0
23156,宮本和奏,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,2.0
23163,阿部悠,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,6.0
23325,小竹佳穂,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,1.0
23326,須本みずほ,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,3.0
23337,鈴木咲希,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,15.0
23359,小林祐子,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,2.0
23685,青代香菜子,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,1.0
23686,小林美咲,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,2.0
23717,伊部琴美,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,3.0
24084,古谷直央,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,
24419,永山尚佳,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,8.0
24565,諏訪夏海,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,10.0
24718,八木橋まい,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,8.0
24719,山根萌加,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,12.0
27458,増澤すず,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,74.0
29171,出田涼子,第60回中日東海ブロックオリエンテーリング大会 兼 東海選手権大会 (津市美里の森),3.0
29758,永山尚佳,第60回中日東海ブロックオリエンテーリング大会 兼 東海選手権大会 (津市美里の森),1.0
29759,伊部琴美,第60回中日東海ブロックオリエンテーリング大会 兼 東海選手権大会 (津市美里の森),2.0
29762,五十嵐羽奏,第60回中日東海ブロックオリエンテーリング大会 兼 東海選手権大会 (津市美里の森),5.0
30858,須本みずほ,第60回中日東海ブロックオリエンテーリング大会 兼 東海選手権大会 (津市美里の森),5.0
37673,増澤すず,第45回全日本大会,3
37674,出田涼子,第45回全日本大会,4
37686,河村優花,第45回全日本大会,
37687,小竹佳穂,第45回全日本大会,
37689,伊部琴美,第45回全日本大会,
37692,宮本和奏,第45回全日本大会,8
38203,香取瑞穂,第45回全日本大会,1
38204,世良史佳,第45回全日本大会,2
38205,永山尚佳,第45回全日本大会,5
38207,冨永万由,第45回全日本大会,
38208,河野珠里亜,第45回全日本大会,
38209,岩﨑佑美,第45回全日本大会,
38212,五十嵐羽奏,第45回全日本大会,
38214,秋山美怜,第45回全日本大会,
38217,阿部悠,第45回全日本大会,3
38218,小林祐子,第45回全日本大会,4
38457,高橋利奈,第45回全日本大会,3
38458,山根萌加,第45回全日本大会,4
38461,清野幸,第45回全日本大会,8
38463,小林美咲,第45回全日本大会,11
38469,松田千果,第45回全日本大会,17
38478,和波明日香,第45回全日本大会,
38796,古谷直央,第45回全日本大会,3
38930,須本みずほ,第45回全日本大会,2
40326,伊部琴美,第24回根の上高原つつじまつりオリエンテーリング大会,1
40327,出田涼子,第24回根の上高原つつじまつりオリエンテーリング大会,2
40329,五十嵐羽奏,第24回根の上高原つつじまつりオリエンテーリング大会,4
40338,和波明日香,第24回根の上高原つつじまつりオリエンテーリング大会,14
40339,須本みずほ,第24回根の上高原つつじまつりオリエンテーリング大会,17
41046,出田涼子,第8回ウェルカムリレー,16
41542,永山尚佳,第8回ウェルカムリレー,19
42933,伊部琴美,第8回ウェルカムリレー,5
42935,五十嵐羽奏,第8回ウェルカムリレー,7
42936,須本みずほ,第8回ウェルカムリレー,8
43206,山根萌加,第8回ウェルカムリレー,1
44190,河村優花,第8回ウェルカムリレー,1
46450,伊部琴美,第16回東海学生オリエンテーリング選手権大会,1
46451,五十嵐羽奏,第16回東海学生オリエンテーリング選手権大会,2
46452,河村優花,第16回東海学生オリエンテーリング選手権大会,3
46453,須本みずほ,第16回東海学生オリエンテーリング選手権大会,4
46454,和波明日香,第16回東海学生オリエンテーリング選手権大会,5
47802,山根萌加,第16回東海学生オリエンテーリング選手権大会,3
48796,永山尚佳,関西学連ロングセレ兼関西インカレ兼中九四学連ロングセレ,1
48797,山根萌加,関西学連ロングセレ兼関西インカレ兼中九四学連ロングセレ,2
48813,出田涼子,関西学連ロングセレ兼関西インカレ兼中九四学連ロングセレ,3
50856,伊部琴美,関西学連ロングセレ兼関西インカレ兼中九四学連ロングセレ,1
