,rank,runnerName,score
0,1.0,伊部琴美,-0.7505689749774244
29,2.0,ひび井美希,-0.34875163265363224
26,3.0,宮村桃子,-0.3169522307310054
7,4.0,中野真優,-0.2671951453696445
4,5.0,和波明日香,-0.24551597388349047
15,6.0,児山千都,-0.21999426701053235
12,7.0,福地あかり,-0.21882677869758793
16,8.0,佐田華澄,-0.18231440646719815
22,9.0,佐々木萌音,-0.14002320870052537
13,10.0,日置うらら,-0.13558386809549222
14,10.0,恒川萌未,-0.13558386809549222
21,12.0,柴山奈穂,-0.13070934597142572
19,13.0,安藤瑠乃,-0.10962884157627635
11,14.0,渡我部ゆき,-0.09496255748972746
5,15.0,明田彩里,-0.07821393203771336
1,16.0,五十嵐羽奏,-0.04887589144250814
18,17.0,杉浦凜,-0.04372473616745285
24,17.0,杉浦野乃子,-0.04372473616745285
20,19.0,刈谷まりい,-0.00604330672452926
28,20.0,中神麻緒,0.03572161954351169
6,20.0,中村沙耶,0.03572161954351169
10,20.0,中神智香,0.03572161954351169
8,23.0,山崎璃果,0.12006207165145062
25,24.0,伊藤加那子,0.20756383660718197
2,25.0,河村優花,0.2732292981733566
23,26.0,土屋雅,0.4449415930360358
9,26.0,土田千聖,0.4449415930360358
27,28.0,今井里奈,0.4497980021610019
17,29.0,余語文香,0.5008376802255614
30,30.0,辻実優,0.6293543247525148
3,31.0,須本みずほ,0.9564110162052936
