,rank,runnerName,score
0,1.0,伊部琴美,-2.1650640530341074
2,2.0,河村優花,-1.5780222278480391
10,3.0,中神智香,-1.1814563294268563
5,4.0,明田彩里,-0.8982608068877326
24,5.0,杉浦野乃子,-0.7490090758449959
3,6.0,須本みずほ,-0.693688294418556
25,7.0,伊藤加那子,-0.6885059383921265
1,8.0,五十嵐羽奏,-0.6601720881644971
28,9.0,中神麻緒,-0.6221586661798122
4,10.0,和波明日香,-0.5465452683205689
8,11.0,山崎璃果,-0.4712174943389857
13,12.0,日置うらら,-0.43448832885013294
26,13.0,宮村桃子,-0.42050992837593426
7,14.0,中野真優,-0.40443632427801124
16,15.0,佐田華澄,-0.4004930352899833
30,16.0,辻実優,-0.36884758104114995
29,16.0,ひび井美希,-0.36884758104114995
23,18.0,土屋雅,-0.3068008260849159
14,19.0,恒川萌未,-0.26912656605421187
22,20.0,佐々木萌音,-0.2661824047244137
27,21.0,今井里奈,-0.19186539334813196
12,22.0,福地あかり,-0.17515980322246708
20,23.0,刈谷まりい,-0.13863222955628346
11,24.0,渡我部ゆき,-0.10382533591610597
19,25.0,安藤瑠乃,-0.020431221312921844
9,26.0,土田千聖,0.2134356592237379
15,27.0,児山千都,0.30222589573592856
21,28.0,柴山奈穂,0.4488960993990903
17,29.0,余語文香,0.48590559403176653
6,30.0,中村沙耶,0.8392553735111554
18,31.0,杉浦凜,0.8475549868690634
