,eventName,lapRank
5719,第28回全日本リレーオリエンテーリング大会,2.0
5739,第28回全日本リレーオリエンテーリング大会,2.0
5744,第28回全日本リレーオリエンテーリング大会,5.0
5765,第28回全日本リレーオリエンテーリング大会,4.0
5785,第28回全日本リレーオリエンテーリング大会,6.0
5804,第28回全日本リレーオリエンテーリング大会,7.0
5824,第28回全日本リレーオリエンテーリング大会,4.0
5854,第28回全日本リレーオリエンテーリング大会,2.0
5864,第28回全日本リレーオリエンテーリング大会,11.0
5893,第28回全日本リレーオリエンテーリング大会,2.0
5903,第28回全日本リレーオリエンテーリング大会,7.0
5924,第28回全日本リレーオリエンテーリング大会,17.0
8172,ときわ走林会・AJR前日ミドル大会,23.0
8244,ときわ走林会・AJR前日ミドル大会,52.0
8301,ときわ走林会・AJR前日ミドル大会,55.0
8391,ときわ走林会・AJR前日ミドル大会,50.0
8448,ときわ走林会・AJR前日ミドル大会,
8521,ときわ走林会・AJR前日ミドル大会,
8584,ときわ走林会・AJR前日ミドル大会,63.0
8683,ときわ走林会・AJR前日ミドル大会,53.0
8737,ときわ走林会・AJR前日ミドル大会,60.0
8814,ときわ走林会・AJR前日ミドル大会,59.0
8903,ときわ走林会・AJR前日ミドル大会,25.0
8930,ときわ走林会・AJR前日ミドル大会,
9032,ときわ走林会・AJR前日ミドル大会,
9106,ときわ走林会・AJR前日ミドル大会,
9167,ときわ走林会・AJR前日ミドル大会,
9244,ときわ走林会・AJR前日ミドル大会,
9323,ときわ走林会・AJR前日ミドル大会,68.0
9400,ときわ走林会・AJR前日ミドル大会,59.0
9485,ときわ走林会・AJR前日ミドル大会,54.0
9521,ときわ走林会・AJR前日ミドル大会,
26469,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,31.0
26500,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,23.0
26543,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,7.0
26576,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,4.0
26601,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,32.0
26638,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,28.0
26671,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,27.0
26700,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,31.0
26741,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,13.0
26774,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,32.0
26788,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,
26820,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,
26873,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,7.0
26906,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,17.0
26933,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,30.0
26964,2019年度日本学生オリエンテーリング選手権大会　ロング・ディスタンス競技部門,27.0
43473,クラブカップ7人リレー2019,126.0
43705,クラブカップ7人リレー2019,110.0
43889,クラブカップ7人リレー2019,80.0
44092,クラブカップ7人リレー2019,46.0
44281,クラブカップ7人リレー2019,51.0
44517,クラブカップ7人リレー2019,48.0
44725,クラブカップ7人リレー2019,46.0
44832,クラブカップ7人リレー2019,185.0
45046,クラブカップ7人リレー2019,138.0
45235,クラブカップ7人リレー2019,101.0
58639,クラブカップ7人リレー2019,43.0
58715,クラブカップ7人リレー2019,55.0
58825,クラブカップ7人リレー2019,35.0
58902,クラブカップ7人リレー2019,52.0
58991,クラブカップ7人リレー2019,35.0
59045,クラブカップ7人リレー2019,47.0
59160,クラブカップ7人リレー2019,32.0
59203,クラブカップ7人リレー2019,55.0
59280,クラブカップ7人リレー2019,55.0
59394,クラブカップ7人リレー2019,38.0
59439,クラブカップ7人リレー2019,65.0
59548,クラブカップ7人リレー2019,36.0
59611,クラブカップ7人リレー2019,42.0
59687,クラブカップ7人リレー2019,62.0
59792,クラブカップ7人リレー2019,25.0
61089,名椙技術科レース2019,7.0
61104,名椙技術科レース2019,5.0
61129,名椙技術科レース2019,1.0
61134,名椙技術科レース2019,11.0
61149,名椙技術科レース2019,9.0
61164,名椙技術科レース2019,6.0
61179,名椙技術科レース2019,4.0
61194,名椙技術科レース2019,8.0
61209,名椙技術科レース2019,7.0
61235,名椙技術科レース2019,2.0
61249,名椙技術科レース2019,2.0
61266,名椙技術科レース2019,1.0
61269,名椙技術科レース2019,13.0
61284,名椙技術科レース2019,4.0
61299,名椙技術科レース2019,3.0
61318,名椙技術科レース2019,2.0
61328,名椙技術科レース2019,4.0
61343,名椙技術科レース2019,7.0
61358,名椙技術科レース2019,3.0
61373,名椙技術科レース2019,6.0
68564,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,7.0
68600,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,9.0
68640,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,25.0
68694,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,4.0
68714,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,6.0
68746,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,14.0
68798,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,6.0
68839,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,5.0
68859,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,28.0
82191,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,9.0
