date,eventName,lossRate,speed
2019-03-02,名椙技術科レース2019,17.2,106.2
2019-03-16,2018年度日本学生オリエンテーリング選手権大会　ミドル・ディスタンス競技部門,15.0,110.9
2019-03-17,2018年度日本学生オリエンテーリング選手権大会　リレー競技部門,49.4,125.3
2019-04-14,第45回全日本大会,23.9,185.8
2019-05-04,第24回根の上高原つつじまつりオリエンテーリング大会,37.0,139.1
2019-06-23,第16回東海学生オリエンテーリング選手権大会,12.6,113.6
2019-06-16,関西学連ロングセレ兼関西インカレ兼中九四学連ロングセレ,,188.8
2019-08-12,"夏合宿レース2019,予選",32.6,112.8
2019-08-12,夏合宿レース2019 決勝,,102.7
2019-02-10,山リハリレー2019,30.2,163.7
2018-12-16,関西・中九四学連ミドルセレクション,29.2,116.7
2018-11-25,東海学連・北信越学連ミドルセレクション,24.3,141.8
2018-11-18,第23回京大京女オリエンテーリング大会,39.1,128.2
2018-11-11,第39回早大OC大会,44.5,118.6
2018-11-10,第8回KOLC大会,16.8,110.4
2018-10-28,第7回全日本ミドルオリエンテーリング大会,23.5,112.7
2018-10-07,クラブカップ7人リレー2018,27.4,160.8
2018-10-07,クラブカップ7人リレー2018,13.5,170.4
2018-09-16,2018年度日本学生オリエンテーリング選手権大会ロング・ディスタンス競技部門,33.6,157.7
2018-07-01,第15回東海学生オリエンテーリング選手権大会,19.8,118.4
2018-06-17,第44回全日本オリエンテーリング大会,27.6,132.7
2018-05-04,第23回根の上高原つつじまつり大会兼AOC2018,58.9,128.9
2019-10-20,第61回中日東海ブロックオリエンテーリング大会 兼 第12回東海選手権大会 (四美の森),44.0,105.3
2019-10-14,All Japan Orienteering Championships 2019 - Long Distance,40.9,129.6
2019-09-29,第24回京大京女オリエンテーリング大会,36.3,94.0
